,Title,Company,Company_Rating,Location,Salary,Date,Description,Yearly,Hourly,Min_Salary,Max_Salary,Avg_Salary,Remote,State,Python,R_studio,Spark,Excel,SQL
128,Telephone Answering Service Representative - English & Frenc...,Explora Communication Services,,"Mérida, Yuc.","$11,500 - $14,000 al mes",2022-05-04,"Our first and foremost focus is to provide exceptional customer care.
 Depending the type of business, you may also schedule, cancel and change appointments,…",0,0,11500,14000,12750.0,0, Yuc.,0,1,0,0,0
129,Representante de Ventas,Small World Money Transfer,3.5,"Tijuana, B.C.","$3,030 por semana",2022-04-28,"Encontrar e identificar oportunidades y prospectos calificados.
 Crear listas de prospectos y cuentas clave.
 Perfilar cuentas estratégicas identificando personas…",0,0,3030,3030,3030.0,0, B.C.,0,1,0,0,0
130,Planner,Corning Optical Communications,3.8,"Reynosa, Tamps.","$25,000 - $35,000 al mes",2022-05-02,"Ensure accuracy of lead times, safety stock levels, and other critical data are current through periodic ASI system.
 2-4 years planning experience.",0,0,25000,35000,30000.0,0, Tamps.,0,1,0,0,0
131,Agente telefónico bilingüe - Answering Service Representativ...,Explora Communication Services,,"Mérida, Yuc.","$10,000 - $12,500 al mes",2022-05-04,"Our first and foremost focus is to provide exceptional customer care.
 Depending on the type of business, you may also schedule, cancel and change appointments,…",0,0,10000,12500,11250.0,0, Yuc.,0,1,0,0,0
132,Telephone Answering Service Representative - English & Frenc...,Explora Communication Services,,"Mérida, Yuc.","$11,500 - $14,000 al mes",2022-05-04,"Our first and foremost focus is to provide exceptional customer care.
 Depending the type of business, you may also schedule, cancel and change appointments,…",0,0,11500,14000,12750.0,0, Yuc.,0,1,0,0,0
133,Software Development Engineer (Web) Full Stack Engineer,iTjuana,,"Tijuana, B.C.","$40,000 - $50,000 al mes",2022-04-30,"You will be hired to help enhance our mobile applications within our existing and new SaaS product offerings.
 3+ years experience working full stack development…",0,0,40000,50000,45000.0,0, B.C.,0,1,0,0,0
134,IoT Software Engineer,iTjuana,,"Tijuana, B.C.","$30,000 al mes",2022-05-04,We are seeking a Software Engineer that can directly impact the experience of patients and clinicians as well as business operations with their breadth of…,0,0,30000,30000,30000.0,0, B.C.,0,1,0,0,0
135,DevOps engineer,"Randstad, México",3.7,"Remoto temporalmente in Azcapotzalco, CDMX","$50,000 - $70,000 al mes",2022-04-04,"Ability to translate business requirements into analytics solutions and create visualizations levering data modeling tools.
 Job Types: Full-time, Permanent.",0,0,50000,70000,60000.0,0, CDMX,0,1,0,0,0
136,SEO Specialist,Baam Digital Impact Experts,,Ciudad de México,"$311,500 - $393,400 al año",2022-04-20,"Develop and execute data driven SEO strategies that increase the company’s search engine result rankings.
 We combine marketing, design, and offer strategy to…",1,0,311500,393400,352450.0,0,Ciudad de México,0,1,0,0,0
137,Software Developer,Enhance IT,,"Querétaro, Qro.",$28 por hora,2022-05-04,"Strong knowledge of Software design patterns, data structures and best practices.
 It’s All About you.
 We guide you to achieve it.
 How We Will Help You*.",0,1,28,28,28.0,0, Qro.,0,1,0,0,0
138,Android Engineer,iTjuana,,"Remoto in Tijuana, B.C.","$30,000 - $50,000 al mes",2022-04-20,"Our employees are an engaging, diverse group of people who believe in the power of great ideas.
 We hire people with different experiences and perspectives to…",0,0,30000,50000,40000.0,0, B.C.,0,1,0,0,0
139,Supervisor de Finanzas,Confíe Tijuana,,"Tijuana, B.C.","$33,000 - $34,000 al mes",2022-04-27,"Join a team that owns the timely and correct compilation and approval of Financial Statements, driving standards and maintaining consistency in data.",0,0,33000,34000,33500.0,0, B.C.,0,1,0,0,0
